专家id,专家账号,专家姓名,职称,单位,一级学科,二级学科,三级学科,研究方向,论文,项目,证书,著作,已对接需求,团队id
0,120199,刘凯,副教授,地理科学与规划学院,地球科学,地理学,地理学其他学科,环境遥感与地理信息科学,1903、3119、7498、8070、10561、10565、10566、10567、14976、19333、20862、21161、21298、22011、22362、22433、24076、25035、25749、26110、26176、26872、27777、27956、28025、28960、29465、29528、29543、29593、29679、30636、33374、33950、35032、36078、37636、37755、37756、40478,85、733、772、773、774、876、4557、4829、4905、6306、9007、9146、9735、10560、10775、12098、12804、12902、12996、13021、13059、13071、13072、13507、13599、13600、14260、14448、14538、15027、15138、15323、15859、16369、17128、17129、17607、17766、18873、18998、19252、32799、32842、32891,97、156、478、1489、3781、3847、4138、4267、4513、4744、4766、4798、5017、5227、5431、5436、5789、5813、5823,,127、254、298、300、303、326、397、401、562、567、569、598、652、1085、2138、2385、2681、3548,1
1,120307,许怡,副教授,社会学与人类学学院,社会学,社会学其他学科,,社会工作，劳动社会学,28183、28764、28818、30836,1171、7161、8071、8124、10631、10738、11386、11698、19203,,,587、2192,1
2,120048,方素琴,副教授,生命科学学院,生物学,生态学,生理生态学,生理生态学,759、2100、2475、10295、13756、14511、16787、20581、20719、23330、34608、36761、36762、37770,3425、6094、6846、12326、17493、18037,,154,,1
3,130015,黄璜,副教授,环境科学与工程学院,环境科学技术及资源科学技术,环境科学技术基础学科,环境化学,饮用水安全,1947、2023、19587、19848、19849、19850、19851、19905、19910、19983、27183、30013、32238、32544、36024、36036,53、662、1467、1484、3890、6130、6796、8763、9428、9536、11271、11324、11506、12135、12580、13911、14537、15411、16179、33242、33505、33531、33608,417、418,,2382、2471、3691、3692,1
4,130158,熊远妍,副教授,生命科学学院,生物学,生物数学(包括生物统计学等),,生物信息学,28、29、30、31、41、71、72、4972、9627、11364、11923、11924、14216、21470、21478、23004、23597、25418、25576、26276、27023、28446、28489、32198、32830、33566、33593、34173、34250、36114,4337、8146、9380、11788、12028、12762、13183、13938、14401、14892、15721、15939、16684、17721、17913、19411、19540、19793、19839、20810、21547、21687、22301、22554、23711、24318、31288、31364、31905、33429、33502,,776,1904,1
5,130163,杨培娜,副教授,历史学系,历史学,,,明清史、中国社会经济史、历史人类学,6761、6762、7535、7597、7598、18407、18408、18458、18459、40995,2084、2680、4274、5205、6004、6326、8600、13176、13434、15631、15743、18161、18282,,670、723,2307、3294、3672,1
6,130225,吴晨光,教授,管理学院（创业学院）,管理学,管理学其他学科,,旅游需求分析及预测,23037、23987、25460、25594、25934、26354、26365、26376、26385、26828、27075、27076、27842、27848、28625、30368、30888、30950、31116、32605、35202,2546、4807、6511、6746、6997、9415、14399、15041、15344、16973、17501、18619、18866、19091、19220、20120、21502、21573、21621、21880,,,,1
7,130286,方萍萍,副教授,化学学院,化学,物理化学,电化学,电分析化学,3740、5755、6108、8113、8115、8117、9114、13104、18539、25841、27301、27688、28704、36126,3925、6125、7377、11132、11264、11491、12152、13398、13416、15404、15905、16130、16205、16237,4627、4803、4931,757,1259,1
8,080057,陈玉罡,教授,管理学院（创业学院）,经济学,金融学,,并购重组，财富管理，金融科技,629、630,602、3658、5204、5257、6203、6509、7098、7350、7705、9904、11552、11746、12140、12358、13760、14320、16088、16847、17922、18033、18408、19074、20856、21101、21254、21255、21261、21535、22493、22497、23622、23830、24366、24488、24493、24572、24633、25272、26092、26240、27488、28569、30951、31022、32970、34104、34511,,0、525,158、417、1849、2408、2481、2482、2515、2770、2925、3743、3783、3900、3995,1
9,860577,陈明远,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,肿瘤学,肿瘤免疫学,无,13、90、271、2011、12696、16064、16615、20706、21204、21775、23130、23536、27174、31011、33409、33848、34904、35208,1371、1438、1810、2417、4638、6592、7169、10825、11558、11883、12252、13223、13872、14356、14977、17635、18095、18887、20766、23340、24056、25078、26348、26353、29171、29984,1931、1932、1933、4056、4660,,,1
10,860788,周建华,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,138、470、471、5083、24697,7644、11883、11901、11906、12452、17560、18134、19856、20140、20208、21890、23343、23722、24052、25101、26003、26158、26199、26206、26515、26940、27275、27412、27414、27457、27481、27519、27793、29141、29451,,,,1
11,100135,张光南,教授,政治与公共事务管理学院--粤港澳发展研究院,经济学,宏观经济学,西方宏观经济学,公共经济,19651、19679、19697、19700、19701、19702、19703、22961、27137、36552、39648,73、86、489、659、1347、2844、2845、2864、2865、4772、5405、5604、6288、6313、8145、8902、9094、9901、10175、10716、11773、12091、12749、13248、13346、13390、13501、13593、13694、13776、13841、13855、13925、14733、14736、15330、15591、15604、15660、15968、16046、16078、16099、16622、16623、16624、17002、17003、17272、18162、18163、18284、18387、18400、19080、19382、20174、20218、21078、21327、21661、21918、22106、22382、22498、22611、22993、23062、23272、23544、23660、23831、24634、24645、25211、25346、25350、25390、25463、25624、27690、27694、27824、29337,,71、223、225、226、227、228、485,58、416、644、943、985、1001、1122、1123、1124、1125、1127、1142、1220、1241、1278、1538、1604、1610、1636、1862、1930、2050、2161、2368、2444、2468、2547、2701、2706、2814、2962、2974、3627、3670、3688、3928,1
12,100157,何祖勇,副教授,生命科学学院,生物学,分子生物学,,动物基因编辑,2066、4044、4972、21744、25138、25306、25939、27437、30057、30546、30730、31024、31665、32327、33702、33805、34088、34130、35461、36799、36802,42、74、79、644、684、1091、1096、1512、1543、2162、2563、2646、2750、2751、3081、3391、4416、4441、4445、4626、5163、5164、6030、7374、8110、8476、8897、8966、9160、9806、9854、9870、10691、10723、10787、11049、11936、11977、12961、12962、13019、13327、13328、14889、15009、15130、16043、16777、16846、17086、19642、19794、21687、21921、21939、22051、22060、22590、22615、22925、23001、23711、24080、24641、24787、25542、26534、32949、33440、34056、34118、34280,180、3093,1176,1166、1637、1828、2092、2513、2742、3082、3248、3249、3410,1
13,001235,刘志伟,教授,历史学系,历史学,专门史,专门史其他学科,明清社会经济史、历史人类学,18383、18384、18385、18386、18387、22544、24121、24166、24309、27918、28871、29948、30740、31384、40934,4435、5205、6949、6971、8600、10312、12017、13176、13500、13505、13575、13591、14028、14049、14166、14738、15226、15592、15631、18403、18468、19354、19510、19933、19948、21262、22244、22581、23302、23737、23781、24681、24705、26104、27308、29693、29887、29888、29999、30095、30934、30996、31248,,1027、1083、1289、1306、1690,835、2307、3454,1
14,860546,马骏,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,临床医学其他学科 ,,无,297、364、365、440、10641、10642、12529、12763、22367、24737、27201、32973,265、2904、2948、4115、6133、7533、7650、8114、8595、10041、11557、11598、11913、11920、12835、16344、16499、16571、16943、17075、18363、18524、18921、19616、19849、19960、20211、20279、20402、20766、20770、21751、22093、22232、23042、23341、23595、23629、23723、24033、24656、26001、26600、26968、27792、28534、28638、29427、29788、29914、30129、30645、33730,,,,1
15,170218,闫勇,教授,物理与天文学院,航空、航天科学技术,航天器结构与设计,空间探测器,空间科学仪器/载荷总体设计，空间载荷光机热系统集成仿真，光学系统装置研制、精密测量物理,1085、7104、7105、7555、10963、13779、13780、19669、23362,56、1656、4149、4475、4583、5286、34481,,,,1
16,170221,杜向军,教授,公共卫生学院（深圳）,预防医学与公共卫生学,预防医学与卫生学其他学科 ,,计算系统生物学,245、795、887、2371、2375、2377、2379、2388、2415、11268、11381、14331、14833、14911、14916、14917、14935、25595、26493、26507、27971、28003、33954,267、1230、1375、1822、2725、3670、3718、4185、4188、5054、6090、7004、7065、8521、8607、9892、34345、34359,930,,,1
17,170226,项泽亮,教授,物理学院,物理学,光学,量子光学,量子计算和量子信息,1066、1421、1423、10974、10975、10988、10989、23183,616、3467、7250、9334、9557、33081、33261、33262,,,,1
18,170227,周宇,教授,地球科学与工程学院,地球科学,大地测量学,物理大地测量学,活动构造,1622、5350、5351、5352、5353、5354、5355、5357、5358、5359、5360、5361、5362、5363、5364、5365、5536、5537、5538,305、313、1900、1901、4546、6370、6795、7186、9064、9360、9880、10124、10125、34316,3541,,3068,1
19,170230,罗一鸣,教授,海洋科学学院,地球科学,海洋科学,海洋化学,海洋生物地球化学,592、17633、17634、17635、17636、17637、17638、17656、17657,1110、2839、4555、4826、4903、5498、6131、6974、7417、7806、8512、8670、33841、34360,,,,1
20,170232,高志增,副教授,海洋科学学院,,,,海洋天然产物,590、591、3317、4718、12694、13962、16990、16992、17007、17172、17632、24862、27158,279、4202、6168、6181、6858、7330、8495、9363,25、26、1442、3580、5186,,,1
21,170233,刘金锋,副教授,地球科学与工程学院,地球科学,地球科学其他学科 ,,地质力学、储层多场耦合、断层力学、非常规天然气开采、二氧化碳利用与地质封存,27286、33810、35034,361、1880、4894、6188、6474、6650、7578、9425,3345,,,1
22,170234,覃慧玲,副教授,大气科学学院,,,,海气相互作用,6386、6387、15324、25378、25423、25426、25437、32233,4545、5430、6121、6975、7233、8974、9999、33910,,,,1
23,170235,陈庭辉,副教授,大气科学学院,地球科学,大气科学,天气学,大气科学,2320、5849、7102、7158、7159、7160、7161、9109、9110、9131、9159、35992、37301、37326,373、4545、4585、6121、6934、6975、7816、8524,,,,1
24,170236,严颖,副教授,数学学院,数学,数理统计学,统计推断,统计，生物统计,1134、3521、3522、4168、4813、18600,4681、5933、7530、7974、9392,,,,1
25,170237,邬汉青,副教授,物理学院,,,,计算量子多体物理,15558、15559、15599、17723、18004、20438、20703,2968、3528、8546、8706、9334、9348、33081、33261、33262,,,,1
26,170238,贺远强,副教授,物理学院,,,,实验粒子物理,19368、33777,4592,,,,1
27,170239,沈冰,副教授,物理学院,,,,量子材料,47、48、80、81、8358、15566、15577、15578、15591、15604、25553、34743、34856,451、2970、3258、3528、3548、3633、3703、4307、4432,,,,1
28,170251,赵文学,教授,医学院,,,,基因表达调控,509、960、2573、12393、12396、12398、18584,4925、7855、34111、34495,,904,,1
29,170252,廖杰,教授,地球科学与工程学院,地球科学,固体地球物理学,地球动力学,地球动力学数值模拟,1818、4192、5699、5700、6096、6097、6946、6947、7199、7203、7204、13378、13612、26444、40867、40868,1203、1306、2486、4558、6188、6665、7817、9064、10127、33133,2697,,3749,1
30,170255,杨涛,教授,化学工程与技术学院,地球科学,海洋科学,海洋调查与监测,海洋监测,1922、1923、1924、1984、1985、1986、1987、1989、1990、1991、1992、1993,2040、12736、16295、33382,3407、3408、3411、3413、5918,,3333,1
31,170256,郑媛媛,副教授,土木工程学院,土木建筑工程,建筑材料,非金属建筑材料,岩土材料纳米尺度建模和仿真,644、645、646、647、648、649、650、32410、34652,170、1207、1963、4127、4554、4962、6195、6229、6423、8100、33181、34029、34099,3577、5588,,,1
32,170258,赵计辉,副教授,土木工程学院,土木建筑工程,建筑材料,非金属建筑材料,土木工程材料及绿色建材,2981、12871、12878、12945、13970、18021、18022、18023、18085、18086、18087、18088、18089、18090、19406、19407、21168、23445、24786、25528、27932、31124、31499、32648、35416、35693、35887,1207、1692、3534、4554、6155、6195、6234、7313、7603、7788、8100,1518、2438、2439、2440、2441、2442、2443、5041,318,1851、3497、3661、3803,1
33,170259,李萍,副教授,环境科学与工程学院,环境科学技术及资源科学技术,环境工程学,环境工程学其他学科,环境材料与低碳技术,2489、7057、13619、24920、26443、26564、32375,350、1501、1639、4474、5024、5821、5885、6130,880、881,,,1
34,170261,吴同飞,副教授,材料科学与工程学院,化学,高分子物理,,高分子性能与加工,626、2394、2416、12344、12345、31963、35370,4636、6489、6568,,,3652,1
35,170262,杜丽红,教授,历史学系（珠海）,历史学,中国近代史、现代史,中华民国史,中国史,6409、6412、6416、6417、6418、6419、6420、6421、6879、6880、6881、6882、6883、7103,5402、6496、7496、9638、33174,,744,,1
36,170263,高扬,副教授,物理与天文学院,,,,恒星形成与地外行星,1266、33949、35065、35432、36038、36054,1957、3415、6185、33143,,,,1
37,170264,孙彩军,教授,公共卫生学院（深圳）,预防医学与公共卫生学,传染病学,,疫苗,751、789、795、878、1929、2388、6271、6274、6275、6276、6277、6299、6300、6301、6302、6303、6308、6638、13753、14265、14266、14267、14268、14269、14270、14278、14334、14353、14370、14933、14934、14935、14936、14937、14939、14944、27257、28749、32301、32988、35378,1849、2154、2204、3078、3566、3710、3877、4185、4188、4575、5104、5106、5495、6090、6255、7682、32756、33257、34120,930、1958、2744、2746、4180,750、1466,,1
38,170013,丁延卫,教授,航空航天学院,航空、航天科学技术,航空、航天系统工程,航天系统工程,重力引力卫星设计,1256、1601、1611、12745、12746、12747、12751、12755、13004、19669、25668,302、1916、5286、7934,,,,1
