专家id,专家账号,专家姓名,职称,单位,一级学科,二级学科,三级学科,研究方向,论文,项目,知识产权,奖项,其他成果,已对接需求,团队id,category_id
0,120199,刘凯,副教授,地理科学与规划学院,地球科学,地理学,地理学其他学科,环境遥感与地理信息科学,2474、4142、9150、9794、12690、12694、12695、12696、17798、22391、24073、24394、24545、25361、25776、25853、27730、28828、29669、30082、30154、30992、32016、32239、32314、33426、34067、34135、34151、34209、34308、35475、38526、39168、40334、41485、43219、43347、43348、46288,115、1103、1150、1151、1152、1374、7124、7536、7852、9730、13548、13728、14595、15889、16126、18535、19601、19794、19892、19923、20013、20027、20028、20934、21027、21028、21844、22340、22431、23498、23669、24110、24751、25551、26855、26856、27480、27813、29518、29707、30048、49771、49816、49873,112、179、515、1523、4037、4108、4417、4554、4820、5077、5101、5135、5370、5598、5819、5825、6201、6231、6241,1169、1170、7663,,142、290、336、337、341、368、444、451、623、630、631、660、719、1189、2312、2568、2882、3814、4475、4593、5030,2801,139
1,120307,许怡,副教授,社会学与人类学学院,社会学,社会学其他学科,,社会工作，劳动社会学,32487、33208、33267、35692,2036、10977、12372、12486、15970、16088、17222、17880、29994,,,,652、2377,0,123
2,121012,陈志辉,主治医师,附属第一医院,,,,胃肠外科二科,13862、16417,7818、17552、17719、23575,,,,,4555,51
3,113702,欧阳汉栋,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,8930、16328、17405、18505、19155、19207、22187、24031、25796、25836、27888、29672、30113、31035、38790,,,,,1,51
4,114009,魏凡钦,主治医师,附属第一医院,,,,耳鼻咽喉科,486、28435、29349,7432、11241、11842、16163、16967、22528、23871、28135、32779,,,,,2,51
5,115512,刘洋靖雯,研究实习员（社会科学）,附属口腔医院,,,,,,,,,,,3,51
6,120048,方素琴,副教授,生命科学学院,生物学,生态学,生理生态学,生理生态学,1185、2738、3186、12397、16352、17317、19675、23726、23871、26891、39875、42204、42205、43363,5447、9439、10538、18779、27338、28329,,1063、1068,176,,5468,143
7,120094,吴帆,助理研究员,党委办公室（党委信访办公室）,,,,,,15415、19736、24753、29103,,,,405,4,144
8,821049,何志捷,主任医师,孙逸仙纪念医院,,,,无,,544、547、554、5289、10592、11100、22583、22773、27622、30617、32151、34014、38611、38627、40612、40854、42049、42541、43030、44924、44928、45476、46397,,,,,5,51
9,130015,黄璜,副教授,环境科学与工程学院,环境科学技术及资源科学技术,环境科学技术基础学科,环境化学,饮用水安全,2527、2619、22664、22944、22945、22946、22947、23002、23007、23081、31351、34733、37307、37635、41428、41440,67、996、2472、2507、6168、9482、10453、13238、14249、14358、17066、17141、17344、18573、19350、21396、22430、24202、25120、50296、50619、50650、50749,448、449,,,2569、2660、3971、3974,6715,87、86
10,130110,何惠莹,研究实习员,法学院（知识产权学院、中英国际海事法学院）,法学,法学其他学科,,,902、25910,,,401、9142,,,6,122
11,130116,焦之洋,研究实习员,化学学院,,,,,,,,78、80、5260,,,7,90
12,130158,熊远妍,副教授,生命科学学院,生物学,生物数学(包括生物统计学等),,生物信息学,30、31、32、33、46、85、86、6312、11646、13580、14191、14192、16941、24740、24751、26480、27187、29256、29459、30272、31150、32777、32824、37249、37941、38736、38767、39409、39491、41522,6827、12511、14199、17979、18439、19557、20343、21426、22293、23178、24602、24845、26287、27752、28205、30270、30553、30932、30979、32442、33451、33593、34745、35023、36931、37726、47905、48030、48719、50521、50616,,,904,2058,3328,143
13,130163,杨培娜,副教授,历史学系,历史学,,,明清史、中国社会经济史、历史人类学,8299、8300、9188、9258、9259、21416、21417、21467、21468、46873,3302、4217、6753、8236、9338、9750、13032、20335、20739、24480、24625、28488、28686,,1376,779、841,2475、3549、3955,8,118、130
14,130225,吴晨光,教授,管理学院（创业学院）,管理学,管理学其他学科,,旅游需求分析及预测,26521、27626、29306、29482、29886、30365、30387、30402、30414、30945、31210、31211、32104、32112、33009、35140、35748、35811、35995、37703、40517,4049、7504、10052、10357、10787、14234、22291、23513、24132、26645、27346、29188、29511、29804、30011、31504、33391、33477、33526、33954,,3392、3559、4438、4839、7982、8839,,,9,135
15,130242,周倜,教授,中山医学院,基础医学,医学生物化学,,糖尿病关键器官代谢紊乱与微血管并发症,348、622、625、5194、5227、5444、8728、11432、11437、11506、11582、12797、12799、12800、12801、13966、13973、13975、15126、15127、15128、16968、24467、25444、27193、28146、28150、29861、31051、32808、40590、41241、41467、42383、42488、42920、43000、43003、43032、43033、43034、43248、43484、43920,4359、7214、8952、12837、12971、15226、17903、20443、21642、22277、22815、25847、26015、26131、26907、27301、27902、30467、30475、31237、31259、32372、32383、32739、33117、42513、49444、49445、49682、50160、50270、50330、50339、50427、50666,359、4917,511、818、819、820、821、822、823、956、957、1014、1015、1017、1018、1034、1982、2257、2682、4986,190、195、213、218、549、1465,2779,3914,51
16,130286,方萍萍,副教授,化学学院,化学,物理化学,电化学,电分析化学,4954、7156、7546、9837、9839、9841、10940、15623、21561、29779、31493、31917、33144、41539,6206、9473、11365、16771、17059、17329、18590、20702、20721、24195、24808、25068、25146、25178,4955、5140、5282,2547、2578、2856,884,1367,1910,90
17,131184,胡晓坤,主治医师,附属第一医院,,,,生殖医学中心,,7808、9467、14985、26132、28053,,,,,10,51
18,131187,陈茂根,主治医师,附属第一医院,,,,器官移植科一区,511、682、13626,8739、9468、10368、10467、10799、13806、16362、18169、18916、18943、18948、18949、18981、19072、20305、20329、20549、22174、22219、22618、22667、23008、23977、24857、25292、25596、25597、25631、27633、28018、28037、28065、28079,,,,,2556,51
19,131188,邓荣海,主治医师,附属第一医院,,,,器官移植科二区,253、11667、42910,577、641、9468、13806、15032、15250、18943、18949、18981、20282、20302、20334、20549、21929、22219、22618、22667、22901、23008、23374、23377、23391、23977、24019、24857、25292、25350、25447、25589、25596、25597、25631、25900、26012、27287、28018、28037、28055、28065、28085,,,,,1416,51
20,821467,梁海慧,主管药师,孙逸仙纪念医院,,,,无,,,,,,,11,51
21,080057,陈玉罡,教授,管理学院（创业学院）,经济学,金融学,,并购重组，财富管理，金融科技,1038、1039,935、5793、8235、8292、9617、10050、10910、11335、11981、14916、17478、17932、18578、18812、21217、21987、25021、26470、28214、28325、28868、29786、32489、32868、33095、33096、33103、33439、34955、34959、36799、37126、37775、37899、37904、37984、38052、39100、40331、40646、42590、44119、47480、47599、49969、51430、51932,,2040、3517、3786、4086、4283、4299、7437,0、608,179、468、1992、2593、2670、2671、2712、2991、3149、4016、4068、4190、4289、5061,12,132
22,080127,李蜜,研究实习员（社会科学）,人力资源管理处,,,,,,,,,,,13,144
23,081027,邢象斌,副主任医师,附属第一医院,,,,消化内科,476、477、10549、23326,11526、20775、22638、22735、23252、25297、26901、27646、31174、31194、31774、33737、33747、33759、34284、36274、36729、37004、38098、40802、41639、42523,,902,,,1142,51
24,081056,祝小林,副教授,附属第一医院,,,,,486、15016、19497,18262、18967、20290、20331、22610、24015、29677、33047、33991、34461、34503、36167、36778、38703、40803、44238,,8749,,,16,51
25,081075,魏红艳,主治医师,附属第一医院,,,,急诊内科,,10603、11905、21597、21599、22206、22207、25628、27639、27646、28030、28032、28598、30729、30741、31194、31776、31777、32832、34080、34195、36437,,,,,14,51
26,120180,黄皓,研究实习员,科学研究院,,,,,,,,2848、4769、5617、6010,,,15,144
27,860577,陈明远,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,肿瘤学,肿瘤免疫学,无,14、113、513、2603、15151、18911、19497、23858、24439、25097、26644、27121、31340、35876、38564、39057、40196、40526,2320、2422、2953、3821、7215、10151、10985、16246、17487、18139、18692、20400、21343、22105、23318、27514、28388、29545、32362、36117、37418、38644、40782、40797、45030、46138,1995、1996、1997、4332、4990,,,,16,51
28,860583,陆少会,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,17,51
29,860584,卢惠明,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,14731,,,,,18,51
30,860726,张莹,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,40151、40479、42703,,,,,19,51
31,860751,吴枚禅,副主任护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,20,51
32,860788,周建华,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,200、841、842、6425、28426,11759、18139、18242、18261、19159、27409、28441、31014、31524、31630、33964、36122、36965、37412、38771、40149、40443、40533、40576、41132、41634、42174、42393、42407、42497、42574、42654、43025、44920、45490,,,,,3058,51
