企业id,企业名称,统一社会信用代码,企业描述,注册资本,keywords,category_id
0,ABB机器人（珠海）有限公司,91440400336433707M,ABB机器人（珠海）有限公司成立于2015年08月10日，注册地位于珠海市高新区新沙五路168号1栋A101单元，法定代表人为梁锐。经营范围包括设计、研发、制造和销售自产的各类机器人，工业自动化产品、物流自动化产品、自动化控制设备和软件、及相关电子、电气、机械配套产品；上述产品同类商品及零部件的批发、进出口、自有技术转让、技术许可；上述产品同类商品零部件的批发、进出口、佣金代理（拍卖除外）及相关的配套服务，上述产品有关的技术服务、技术咨询、工程设计、系统集成及售后服务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理）；上述产品相关的境外承包工程（涉及行政许可的，凭许可证经营）；二手机器人进口、翻新和国内外销售等等(依法须经批准的项目，经相关部门批准后方可开展经营活动),"1,350万(元)",自动化控制|机器人|物流自动化|电子|工业自动化,58
1,OPPO广东移动通信有限公司,9.14419E+17,2003年4月11日，东莞盛铭电子有限公司成立。2007年6月20日，公司更名为东莞欧珀移动通信有限公司。2008年12月29日，公司更名为广东欧珀移动通信有限公司。2018年3月30日，公司更名为OPPO广东移动通信有限公司。2022年2月11日，OPPO广东移动通信有限公司获得一项“手机”外观专利授权。摘要显示，本外观设计产品主要用于移动通迅、数据处理等，其设计要点在于形状。2022年5月，OPPO广东移动通信有限公司公布了一项与货币识别有关的专利。该专利名为“货币识别方法、装置及移动终端”，申请公布号为CN111275879B。2022年6月21日，OPPO广东移动通信有限公司申请的“化妆品推荐方法及相关装置”专利获授权。2022年9月，OPPO广东移动通信有限公司申请的“熄屏显示控制方法、装置、移动设备和计算机存储介质”专利公布。可降低功耗，延长移动设备的续航时长。2022年12月，入选第一批电信设备进网许可自检自证试点企业名单。,"45,926.7655万(元)",外观设计|OPPO|熄屏显示|化妆品推荐|移动通信|货币识别,29
2,TCL华星光电技术有限公司,91440300697136927G,TCL华星光电技术有限公司（简称“TCL华星”）成立于2009年，是一家专注于半导体显示领域的创新型科技企业。作为全球半导体显示龙头之一，TCL华星以深圳、武汉、惠州、苏州、广州、印度为基地，拥有9条面板生产线、5大模组基地，投资金额超2600亿元。TCL华星积极布局下一代MiniLED、MicroLED、柔性OLED、印刷OLED等新型显示技术，产品覆盖大中小尺寸面板及触控模组、电子白板、拼接墙、车载、电竞等高端显示应用领域，构建了在全球面板行业的核心竞争力。华星光电以1954件PCT国际专利申请量位列世界知识产权组织（WIPO）2021年专利申请榜全球企业第8位、中国企业第4位。截至2022年第一季度，TCL华星累计全球专利申请数55007件，累计全球专利授权数18819件，其中发明专利超95%，自主专利已广泛覆盖美国、欧洲、日本、韩国等国家和地区。,"3,308,123.4746万(元)",创新科技|专利申请|面板生产|半导体显示,20
3,TCL实业控股股份有限公司,91441300MA529HEL43,TCL实业控股股份有限公司秉承“科技创造精彩畅享智慧生活”之使命，以用户为中心，以创新为动力，在智能时代，不断为全球用户创造精彩，让人们畅享智慧生活。在持续为人类社会进步作出贡献的同时，成为全球领先的智能科技公司。目前，旗下拥有两家上市公司：TCL电子(1070HK)、通力电子(01249.HK)。TTK家庭电器(惠州)有限公司，公司创立于1981年，从事录音磁带的生产制造，后来拓展到电话、电视、手机、冰箱、洗衣机、空调、小家电、液晶面板等领域。截至2019年底，TCL实业拥有5万余名员工，26个研发中心，10余家联合实验室，22个制造加工基地，80多个国家和地区设有销售机构，业务遍及全球160多个国家和地区，全球累计服务用户超过9.6亿人。,"322,500万(元)",销售网络|技术研发|TCL|生产制造|智能科技,23
4,TCL科技集团股份有限公司,91441300195971850Y,TCL集团2004年1月在深交所主板上市，2019年四月，剥离终端产品业务重组为“TCL科技集团”，本集团保留半导体显示产业，产业金融及投资和翰林汇O2O业务；其他业务已剥离出售。TCL科技集团转型为半导体显示产业及材料业务；业务主体“TCL华星光电”已投资建成两个G8.5、一个G11LCD工厂，一个G6LTPS和一个G6柔性AM-OLED工厂，在建一个G11LCD工厂；同时在显示材料、部品也有投资布局；产业总投资1800亿。TCL华星已成为全球半导体显示行业的主要厂商，其战略目标是要通过不断提高规模和效率、效益，提高产品技术及产业生态建设能力，完善全球产业布局，成为全球领先的半导体显示企业。TCL科技集团还将在半导体及新能源的高科技战略新兴产业开拓新业务；成为以高端制造能力为基础的全球行业领先的高科技产业集团。集团将继续发展产业金融和投资业务，以金融赋能产业发展，并创造稳定增长的产业金融服务和投资收益，平衡产业经营收益的周期性波动。本集团将秉持夯实基础、开拓创新、坚忍不拔的实业精神，不断提升竞争力和效益，努力回报股东和社会。,"1,707,189.1607万(元)",核心竞争力|半导体显示产业|产业金融与投资,20
5,一力制药股份有限公司,9.14412E+17,一力制药股份有限公司成立于2008年12月26日，注册地位于四会市东城区凤山路，法定代表人为曾胜。经营范围包括片剂，胶囊剂（含头孢菌素类），颗粒剂，合剂，搽剂，糖浆剂，原料药，中药前处理及提取（口服制剂）生产、销售；地产中草药（不含中药饮片）购销；饮料（其他饮料类）生产、销售；医疗器械生产、销售；食品经营；国内贸易（经营范围涉及法律、法规禁止的，不得经营；应经审批的，未获审批前不得经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)一力制药股份有限公司对外投资7家公司。,"10,000万(元)",一力制药|片剂|颗粒剂|搽剂|胶囊剂,45
6,一汽—大众汽车有限公司,91220000605120697F,一汽-大众汽车有限公司（以下简称一汽-大众）于1991年2月6日成立，是由中国第一汽车股份有限公司、德国大众汽车股份公司、奥迪汽车股份公司和大众汽车（中国）投资有限公司合资经营的大型乘用车生产企业，是我国第一个按经济规模起步建设的现代化乘用车生产企业。经过30余年的发展，一汽-大众产能布局已覆盖东北长春、西南成都、华南佛山、华东青岛以及华北天津。从建厂初期的一个品牌1款产品，发展到现在的奥迪、大众、捷达三大品牌20余款，一汽-大众已成为国内成熟的覆盖A、B、C级全系列乘用车型的生产企业。,"2,428,200万(元)",乘用车|汽车生产|品牌|生产基地|产品线,71
7,万华化学（佛山）容威聚氨酯有限公司,9.14406E+17,万华化学（佛山）容威聚氨酯有限公司成立于1997年07月31日，注册地位于佛山市高明区明城镇工业区，法定代表人为李立民。经营范围包括生产、销售：聚氨酯材料及其制品、产品。货物进出口、技术进出口（法律、行政法规禁止经营的项目除外，法律、行政法规限制经营的项目须取得行政许可后方可经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动),"2,885.75万(元)",制品|聚氨酯材料|销售|货物出口|技术进出口,53
8,万穗投资控股（青岛）有限公司,91370202MA3U654Q4M,万穗投资控股（青岛）有限公司成立于2020年10月15日，注册地位于山东省青岛市崂山区秦岭路18号1号楼312室，法定代表人为杨帆。经营范围包括一般项目：以自有资金从事投资活动；企业管理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）万穗投资控股（青岛）有限公司对外投资1家公司。,567万(元),技术推广|技术开发|技术咨询|技术服务|技术培训|投资管理|投资|技术转让,132
9,三九企业集团（深圳南方制药厂）,91440300192227487L,三九企业集团（深圳南方制药厂）成立于1993年05月21日，注册地位于深圳市罗湖区宝安南路1001号华瑞大厦七楼705室，法定代表人为周平。经营范围包括一般经营项目是：日用化妆品、包装材料、纺织品、服装、塑料制品、玩具、家电的销售业务。信息咨询服务（不含法律、行政法规、国务院决定禁止及规定需审批的项目）。，许可经营项目是：三九企业集团（深圳南方制药厂）对外投资22家公司，具有2处分支机构。,"5,375万(元)",玩具|塑料制品|纺织品|家电|信息服务|投资|分配机构|日用品化妆品|包装材料|服装,45
10,三菱化学化工原料（惠州）有限公司,9144130075787931XP,三菱化学化工原料（惠州）有限公司成立于2004年03月16日，注册地位于惠州市大亚湾经济技术开发区石油化学工业区滨海十一路8号，法定代表人为内藤啓幸。经营范围包括工程塑料（甲基丙烯酸甲酯MMA）及其相关产品的生产和销售；从事营销支持服务、技术支持服务和商业咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)三菱化学化工原料（惠州）有限公司具有1处分支机构。,"6,500万(美元)",技术支持服务|工程塑料|商业咨询|市场营销,53
11,上海一影信息科技有限公司,91310115MA1H77MB1C,上海一影信息科技有限公司成立于2015年12月04日，注册地位于上海市浦东新区康威路739号10幢一层，法定代表人为奚岩。经营范围包括一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；专用设备制造（不含许可类专业设备制造）；第二类医疗器械销售；第二类医疗器械租赁；第一类医疗器械生产；第一类医疗器械销售；第一类医疗器械租赁；软件开发；机械设备研发；货物进出口；技术进出口；金属制品销售；仪器仪表销售；金属材料销售；电气设备销售；机械设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类医疗器械生产；第三类医疗器械经营；第三类医疗器械租赁；第三类医疗器械生产；Ⅱ、Ⅲ类射线装置销售；Ⅱ、Ⅲ类射线装置生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,500万(元),信息技术|机械设备|医疗器械|金属材料|软件开发|电气设备,53
12,上海传英信息技术有限公司,91310115599726536T,上海传英信息技术有限公司成立于2012年06月29日，注册地位于中国（上海）自由贸易试验区学林路36弄1号楼1层，法定代表人为竺兆江。经营范围包括一般项目：软件开发；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电子产品销售；通信设备制造；通信设备销售；移动终端设备制造；移动终端设备销售；电子元器件制造；电子元器件批发；电子元器件零售；信息系统集成服务；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；广告设计、代理；广告制作；广告发布；数字广告设计、代理；数字广告制作；数字广告发布；技术进出口；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）上海传英信息技术有限公司对外投资1家公司。,"58,657.57万(元)",计算机软硬件|电子元器件|广告设计|移动终端设备|软件开发,53
13,上海凡智教育科技有限公司,91310117MA1J1KUN5X,上海凡智教育科技有限公司成立于2016年08月31日，注册地位于上海市松江区三新北路900弄668号402室，法定代表人为贾龙。经营范围包括一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；教育咨询服务（不含涉许可审批的教育培训活动）；信息咨询服务（不含许可类信息咨询服务）；软件开发；会议及展览服务；计算机及办公设备维修；计算机系统服务；信息技术咨询服务；图文设计制作；动漫游戏开发；计算机软硬件及辅助设备零售；组织文化艺术交流活动；咨询策划服务；社会经济咨询服务；广告设计、代理；广告制作；广告发布；平面设计；摄像及视频制作服务；翻译服务；人工智能应用软件开发；人工智能通用应用系统；企业形象策划；市场营销策划；商标代理；市场调查（不含涉外调查）；健康咨询服务（不含诊疗服务）；企业管理咨询；计算机软硬件及辅助设备批发；信息系统集成服务；日用百货销售；办公用品销售；文具用品批发；体育用品及器材批发；文具用品零售；家具销售；通信设备销售；电子产品销售；家用视听设备销售；体育用品及器材零售；乐器零售；数字创意产品展览展示服务；数字广告制作；数字内容制作服务（不含出版发行）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：出版物零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）上海凡智教育科技有限公司对外投资4家公司。,386.28万(元),数码内容制作|人工智能|办公室设备|软件开发|印刷品销售,53
