企业id,企业名称,统一社会信用代码,注册资本,category_id,keywords
0,ABB机器人（珠海）有限公司,91440400336433707M,"1,350万(元)",58,自动化控制|机器人|物流自动化|电子|工业自动化
1,OPPO广东移动通信有限公司,914419007480321175,"45,926.7655万(元)",29,外观设计|OPPO|熄屏显示|化妆品推荐|移动通信|货币识别
2,TCL华星光电技术有限公司,91440300697136927G,"3,308,123.4746万(元)",20,创新科技|专利申请|面板生产|半导体显示
3,TCL实业控股股份有限公司,91441300MA529HEL43,"322,500万(元)",23,销售网络|技术研发|TCL|生产制造|智能科技
4,TCL科技集团股份有限公司,91441300195971850Y,"1,707,189.1607万(元)",20,核心竞争力|半导体显示产业|产业金融与投资
5,一力制药股份有限公司,914412006824906322,"10,000万(元)",45,一力制药|片剂|颗粒剂|搽剂|胶囊剂
6,一汽—大众汽车有限公司,91220000605120697F,"2,428,200万(元)",71,乘用车|汽车生产|品牌|生产基地|产品线
7,万华化学（佛山）容威聚氨酯有限公司,914406086176579691,"2,885.75万(元)",53,制品|聚氨酯材料|销售|货物出口|技术进出口
8,万穗投资控股（青岛）有限公司,91370202MA3U654Q4M,567万(元),132,技术推广|技术开发|技术咨询|技术服务|技术培训|投资管理|投资|技术转让
9,三九企业集团（深圳南方制药厂）,91440300192227487L,"5,375万(元)",45,玩具|塑料制品|纺织品|家电|信息服务|投资|分配机构|日用品化妆品|包装材料|服装
10,三菱化学化工原料（惠州）有限公司,9144130075787931XP,"6,500万(美元)",53,技术支持服务|工程塑料|商业咨询|市场营销
11,上海一影信息科技有限公司,91310115MA1H77MB1C,500万(元),53,信息技术|机械设备|医疗器械|金属材料|软件开发|电气设备
12,上海传英信息技术有限公司,91310115599726536T,"58,657.57万(元)",53,计算机软硬件|电子元器件|广告设计|移动终端设备|软件开发
13,上海凡智教育科技有限公司,91310117MA1J1KUN5X,386.28万(元),53,数码内容制作|人工智能|办公室设备|软件开发|印刷品销售
14,上海勘测设计研究院有限公司,91310109425010781E,"96,012.9609万(元)",53,总承包|工程设计|技术服务|水电|科技创新
15,上海化工研究院有限公司,913101074250115305,"43,860万(元)",90,化学品的进出口|石油化工|医药|设计制作|技术咨询|技术服务|新材料|展览会议|节能环保科技|使用权出租
16,上海化赫科技有限公司,91310116MA1JCUY69B,500万(元),53,净化设备|家用消毒清洗设备|环保设备|化学|医疗|金属|实验室设备|化工|建筑材料|仪器仪表
17,上海国际机场股份有限公司,91310000134616599A,"248,848.134万(元)",53,国际中转枢纽|上海机场|资产重组|股份上市
18,上海复享光学股份有限公司,91310000577464838D,"1,298.6842万(元)",27,医药|光电|新材料|化学|进出口业务|检测设备|光学科技|检测技术|化工原料|能源
19,上海外语教育出版社有限公司,9131010913312340XF,"40,000万(元)",53,人工智能应用开发|广告设计|执照|广告代理|出版物发行|艺术辅导|语言能力培训|广告制作|出版物印刷|外语教育
20,上海天鹭投资管理有限公司,9131023006603334X2,"1,000万(元)",132,项目|资产管理|投资管理|投资
21,上海您惦半导体科技有限公司,91310117MA1J2PNP6A,"1,000万(元)",20,技术开发|化妆品|技术咨询|工艺品|厨房设备|衣服|法律咨询|半导体|银行|床上用品
22,上海意乐特能源科技有限公司,91310112MA1GCTPX7Y,"1,000万(元)",66,电子产品销售|技术咨询|新能源|技术研发|产品销售
23,上海时鉴工程技术有限公司,91310115MA1H7GAW1G,100万(元),53,机电设备|技术开发|能源科技|软件开发|互联网科技
24,上海晨光文具股份有限公司,91310000677833266F,"92,693.305万(元)",104,文具|学生文具|书写工具|办公室文具
25,上海树脂厂有限公司,913101051322757351,802.9万(元),90,业务|审批|离子交换树脂|执照|技术服务|水处理设备|技术支持|法律|不饱和树脂|化工原料
26,上海瑞控阀门有限公司,913101186855469883,"5,200万(元)",57,高压阀门|航天阀门|进出口|技术支持|核电阀门
27,上海甫弘生物医药有限公司,91310000MA1H3EUG07,"20,000万(元)",45,技术开发|技术咨询|技术服务|生物科技|医药科技
28,上海盈动体育用品有限公司,9131011559640729XL,"1,090万(元)",102,市场策划|赛事策划|体育用品|办公用品|运动鞋
29,上海福奈尔生物科技有限公司,91310115MA1K47LB1L,100万(美元),44,日用品|化妆品|生物科技|医疗器械|国际贸易
30,上海等一下文化传播有限公司,91310101MA1FPJF221,100万(元),53,艺术活动|市场推广|演出|咨询|文化传播
31,上海纳川核能新材料技术有限公司,91310115332721509E,"10,000万(元)",62,机械设备|塑料制品|核能|新材料|市政设施
32,上海罗氏制药有限公司,91310000607297170M,"27,869.7143万(美元)",45,病毒学|医药产业|移植学|上海罗氏制药|肿瘤学
33,上海船舶运输科学研究所有限公司,913101154248751347,"85,000万(元)",74,自动化设备|船舶|水动力学|环境影响评价
34,上海芯元基半导体科技有限公司,91310115320754901T,675.0528万(元),20,技术开发|技术咨询|进出口业务|电子产品|半导体
35,上海芯航生科生命科学有限公司,91310115MA7BXFXX03,"1,000万(元)",143,仪器|管理咨询|化学产品|人工智能|生物科技
36,上海超阳药业有限公司,91310112MA7C63E43U,"6,000万(元)",45,技术推广|非居住房地产租赁|技术开发|技术咨询|技术服务|生物科技|医药科技|试验开发|技术转让|医学研究
37,上海远方基础工程有限公司,91310114133776670B,"10,000万(元)",83,岩土工程勘察|隧道|工程测量勘察|道路|市政工程|建筑专业设计|大型物件吊装|建筑材料销售|建筑机械设备租赁|铁路
38,上海链鉴科技有限公司,91310110MA1G8MFW47,10万(元),53,信息技术|计算机系统|网络科技|数据处理|软件开发
39,上海飞琰化工科技有限公司,91310112687396303G,10万(元),90,化工科技|五金交电|计算机科技|通信科技
40,世技(东莞)专用车制造有限公司,91441900MA55MJBG3M,"1,000万(元)",71,机械制造|环保设备|新能源|特种运输|软件开发
41,业成光电（深圳）有限公司,9144030057479169XJ,"60,622.794万(元)",53,触控技术|光电|电子|触控屏|触控平板显示器
42,东华工程科技股份有限公司,91340000730032602U,"54,519.144万(元)",53,国家级高新技术企业|AAA级信用企业|国家高新技术企业
43,东峡大通（北京）管理咨询有限公司,91110108MA008QWQ86,"150,000万(美元)",53,计算机软件|工业设计|市场推广|数据处理|计算机网络技术
44,东方国际集装箱（广州）有限公司,91440115783761788Y,"2,141.778万(美元)",53,金属压力容器制造|金属制品批发|集装箱维修|集装箱制造|金属日用杂品制造|钢铁结构体部件制造|钢结构制造|金属结构制造
45,东沃同泰（凤城）生物工程有限公司,91210682MA11ERQB5W,500万(元),44,技术服务|生物制药|医疗器械生产|农药生产|兽药生产
46,东海杜丽梦（中山）有限公司,91442000732144288L,114万(美元),53,车载儿童安全座椅|婴儿车座|技术咨询|缝制|汽车座椅
47,东莞东聚电子电讯制品有限公司,914419006177619698,"6,200万(美元)",20,3C产品|国际化|超级ODM|制造工厂|研发中心
48,东莞东野药业有限公司,91441900MA5666MT80,100万(元),45,审批|零售|批发|药品
49,东莞中汽宏远汽车有限公司,91441900079591607H,"12,000万(元)",71,零配件|汽车|销售|充电站建设|货物和技术进出口
50,东莞华工创为生物科技有限公司,91441900MA51JUC92G,"1,000万(元)",44,表面活性剂|化学原料|实验室仪器|生物材料
51,东莞华贝电子科技有限公司,91441900699790009U,"90,000万(元)",29,研发销售|手机研发设计|高端研发管理
52,东莞博奥木华基因科技有限公司,91441900325068871Y,"1,135万(元)",53,货物进出口|实验分析仪器销售|服务技术|医疗器械生产|生物化工产品|人体基因诊断与治疗|销售|工程与技术开发|塑料制品销售|医学研究
53,东莞发展控股股份有限公司,91441900617431353K,"103,951.6992万(元)",53,股权投资|信用评级|商业保理|投资|业务布局|多元化|融资租赁|咨询
54,东莞宜安科技股份有限公司,91441900618367138U,"69,042.36万(元)",57,工业设计|轻合金材料|质量管理|精密压铸件
55,东莞实业投资控股集团有限公司,9144190005677374XW,"688,173.8646万(元)",132,产业投资运营|城市综合运营|环保产业
56,东莞富强电子有限公司,91441900771854717L,"20,470万(美元)",20,电子元器件|电力电子元器件|电子|电子测量仪器|电子产品
57,东莞巨正源科技有限公司,91441900MA4UHBAX8X,"157,550万(元)",53,技术开发|技术咨询|技术服务|技术培训|技术转让
58,东莞市三贤汽车配件有限公司,91441900756476826N,"1,500万(元)",57,机械设备|塑料制品|电子专用材料|技术出口|纺织品|家用电器|汽车零部件|汽车配件|密封件|货物出口
59,东莞市交通投资集团有限公司,91441900198030116R,"363,000万(元)",132,公路桥梁|国有资产|城市基础设施|国有企业
60,东莞市众源环境投资有限公司,91441900MA4UL8H30K,"85,630.83万(元)",132,项目管理|机械设备|五金电器|环境项目投资|建筑材料|销售|城市基础设施建设|环境监测
61,东莞市伟一模具科技有限公司,91441900796235277R,100万(元),53,电器|注塑|家电|塑料|汽车零配件
62,东莞市兴昇包装制品有限公司,914401010882128161,"2,000万(元)",103,木制品|大数据|包装|塑料|纸张|人工智能|互联网|印刷
63,东莞市典雅五金制品有限公司,91441900749961399C,"19,300万(元)",53,机电设备|塑料制品|物业管理|五金制品|技术支持|材料|真空镀膜
64,东莞市利通行汽车配件有限公司,91441900690511755Q,"1,000万(元)",68,卫生用品|有色金属|汽车零配件|新能源汽车|电池制造
65,东莞市华泽电子科技有限公司,91441900553688503C,"3,000万(元)",20,电子|通用机械设备|电子产品|金属制品|仪器仪表
66,东莞市台铃车业有限公司,91441900708017297F,"2,000万(元)",71,摩托车|零配件|助动自行车|机动车|仪器仪表
67,东莞市国弘投资有限公司,91441900198030968J,"50,000万(元)",132,设备租赁|资产管理|信息科技|投资
68,东莞市明骏智能科技有限公司,91441900572372977R,"4,000万(元)",53,服装制造|安防设备|新材料|电子|金属材料
69,东莞市本末科技有限公司,91441900MA54DQLF82,147.4704万(元),53,机器人组装|计算机开发|电子产品|国际贸易|质量检验
70,东莞市机械模具产业协会,51441900577927329Q,3万(元),56,期刊|展览|机械模具|名优产品|咨询服务
71,东莞市松柏模具有限公司,91441900MA4UPQ99X1,800万(元),53,检具|机器人|工装夹具|汽车配件|智能化
72,东莞市横沥模具科技产业发展有限公司,914419000537266736,100万(元),53,会议展览|模具科技|咨询|实业投资
73,东莞市水务集团供水有限公司,91441900735007609Y,"612,453.0051万(元)",80,水资源|供水|仪器|市政|环保
74,东莞市水务集团有限公司,91441900MA51KYNQ8Q,"1,633,766.4065万(元)",80,建设|现代化|水务|企业文化|环保
75,东莞市永晟电线科技股份有限公司,914419007615894465,"7,012.5万(元)",67,电缆|零配件|电线|技术出口|电子产品|货物出口|外商投资
76,东莞市熙友化学材料有限公司,91441900MA55815N7N,"1,000万(元)",90,防水建筑材料|光学材料|化工助剂|化工原料|化学材料
77,东莞市爱粤金属粉末有限公司,914419007911632784,"1,838.6562万(香港元)",53,危险化学品|粉末涂料|行业许可|环氧聚酯|金属粉末
78,东莞市生物技术产业发展有限公司,9144190005990619X7,"130,000万(元)",44,生物技术|医药|酒店|城市建设|化工
79,东莞市电化实业集团有限公司,91441900281844575T,"5,775.6763万(元)",68,
