relationship_id,expert_A_id,expert_B_id,relationship_type,relationship_description,relationship_value
0,120199,030131,论文合作,合作次数,1.0
1,120199,120037,论文合作,合作次数,1.0
2,120199,160051,论文合作,合作次数,1.0
3,120199,150101,论文合作,合作次数,8.0
4,120199,070075,论文合作,合作次数,3.0
5,120199,140022,论文合作,合作次数,3.0
6,120199,140028,论文合作,合作次数,1.0
7,120199,110004,论文合作,合作次数,3.0
8,120199,120271,论文合作,合作次数,3.0
9,120199,006528,论文合作,合作次数,3.0
10,120199,080013,论文合作,合作次数,1.0
11,120199,110142,论文合作,合作次数,2.0
12,120199,180147,论文合作,合作次数,2.0
13,120199,180370,论文合作,合作次数,3.0
14,120199,180274,论文合作,合作次数,2.0
15,120199,190525,论文合作,合作次数,1.0
16,120199,190548,论文合作,合作次数,1.0
17,120199,150177,论文合作,合作次数,1.0
18,120199,020162,论文合作,合作次数,2.0
19,121012,081033,论文合作,合作次数,1.0
20,121012,812191,论文合作,合作次数,1.0
21,121012,121071,论文合作,合作次数,2.0
22,121012,041007,论文合作,合作次数,1.0
23,121012,830904,论文合作,合作次数,1.0
24,121012,131119,论文合作,合作次数,2.0
25,121012,153093,论文合作,合作次数,1.0
26,121012,153097,论文合作,合作次数,1.0
27,121012,812398,论文合作,合作次数,1.0
28,121012,206206,论文合作,合作次数,1.0
29,114009,081056,论文合作,合作次数,1.0
30,114009,812673,论文合作,合作次数,1.0
31,114009,812615,论文合作,合作次数,1.0
32,114009,091017,论文合作,合作次数,1.0
33,114009,812548,论文合作,合作次数,1.0
34,114009,131190,论文合作,合作次数,1.0
35,114009,151079,论文合作,合作次数,1.0
36,114009,101053,论文合作,合作次数,1.0
37,114009,111071,论文合作,合作次数,1.0
38,120048,170317,论文合作,合作次数,5.0
39,120048,140048,论文合作,合作次数,10.0
40,120048,210534,论文合作,合作次数,3.0
41,130015,040233,论文合作,合作次数,1.0
42,130015,130003,论文合作,合作次数,2.0
43,130015,030120,论文合作,合作次数,1.0
44,130015,100012,论文合作,合作次数,8.0
45,130015,190568,论文合作,合作次数,1.0
46,130015,210204,论文合作,合作次数,1.0
