其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
0,金融大数据：大数据与产业链分析,教材,2023-01-05,管理学院（创业学院）,陈玉罡（080057）,080057
1,管理沟通（第4版）,教材,2023-03-10,管理学院（创业学院）,朱仁宏（006543）,006543
2,新时代高校学生美育工作研究,编著,2022-10-01,党委学生工作部,郑梦婕（159121）,159121
3,太阳电池物理与器件,教材,2022-09-10,材料学院,高平奇（180192）、王子磊（216663）、林豪（227039）、蔡伦（206037）、苏巧（22216257）、唐旱波（21111608）,180192
4,黄氏源流,编著,2016-10-15,中国非物质文化遗产研究中心,秦彧（070204）,070204
5,样品制备方法及应用,教材,2023-01-01,化学学院,李攻科（005061）、汪正范、胡玉玲（020125）、肖小华（050184）、胡玉斐（100147）、张卓旻（090055）、夏凌（177268）,005061、020125、050184、100147、090055
6,高校意识形态工作研究,编著,2015-05-01,出版社（音像出版社）,国珈（100113）,100113
7,阻塞性睡眠呼吸暂停标准数据集,专著,2023-03-24,,雷文斌（812673）、文卫平（812513）、李进让、乐慧君（216319）,812673
8,追寻脱贫攻坚者的足迹,编著,2023-05-17,,许东黎（004157）、林炜双（120161）、关键（080139）、黎晓天（080129）、梁一川（139139）、陈保瑜（130196）,004157、120161、080139、080129、130196
9,西周金文字词关系研究,专著,2016-03-01,,田炜（110082）,110082
10,政治哲学1,专著,2016-07-15,,Jun-Hyeok Kwak（160019）,160019
11,遗传学实验,编著,2020-09-02,海洋科学学院,李俊（109045）、宁曦（130344）、易梅生（110005）,110005
12,《边陲社会与国家建构》,编著,2017-05-05,,黄永豪、蔡志祥、谢晓辉（210521）,210521
13,憲政からみた現代中国,专著,2018-05-23,,孙宏云（005598）,005598
14,杨慎研究文选,编著,2020-02-01,,秦际明（170359）,170359
15,《制造边缘性：10-19世纪的湘西》,专著,2020-10-30,,谢晓辉（210521）,210521
16,护理管理学（第4版）,教材,2017-07-01,,吴欣娟、张俊娥（019617）,019617
17,临床眼底病,专著,2015-03-31,,张平（871126）,871126
18,全球化视野下的医学人文,编著,2019-12-01,,程瑜（006545）、姚克勤、何文山、张玲华、邵豪,006545
19,无意识之力：1927-1937年广州报纸社会新闻研究,专著,2017-09-01,,胡雪莲（070125）,070125
20,21世纪大学英语应用型综合教程（第三版）4,教材,2018-08-01,,徐小云（012090）,012090
21,韩国首尔国立大学藏同顺泰号文书（10册）,编著,2019-07-01,,周湘（006535）、柏峰,006535
22,法国理论,译著,2019-09-01,,合田正人、廖钦彬（150013）,150013
23,终身体育：体适能提升与健康促进,教材,2020-08-10,体育部,屈萍（120226）、张新萍（006556）、李寅（180309）、肖红（100175）、刘靖东（180070）、罗曦娟（150169）、胡晓燕、杨茜（006759）,120226、006556、180309、100175、180070、150169、006759
24,中山大学地球物理学野外综合实习指导书,教材,2020-10-30,,侯卫生（070141）、肖凡（140132）、成谷（040073）、徐啸（160270）、李伦（170169）、沈旭章（170168）,070141、140132、040073、160270、170169、170168
25,Diagnosis and Robust Control of Complex Building Central Chilling Systems for Enhanced Energy Performance,教材,2019-12-01,智能工程学院,高殿策（160188）,160188
26,海洋气象学,专著,2019-03-03,海洋科学学院,邱春华（130304）、李春,130304
27,模态逻辑教程,教材,2021-03-01,,文学锋（120309）,120309
28,珠江三角洲教育现代化研究,专著,2016-12-01,,冯增俊（050068）、董凌波、谢蓉（006397）,006397
29,广州道教文化,编著,2018-09-01,,马永康（100177）,100177
30,组织学与胚胎学,教材,2017-08-01,,朱永红（012023）,012023
31,基于卫星遥感技术的北极格陵兰自然与人文地理研究,专著,2020-12-30,测绘科学与技术学院,陈卓奇（190215）、程晓（190117）,190215、190117
32,广东制造发展四十年,编著,2018-12-01,,张斌（080102）、张宏斌（006890）,080102、006890
33,中国非物质文化遗产保护发展报告（2017）,编著,2017-10-01,,宋俊华（020067）,020067
34,北极海冰遥感反演方法及应用,专著,2020-12-01,,程晓（190117）、惠凤鸣（190191）、李新情（206047）,190117、190191
35,饮食营养与禁忌,编著,2017-12-01,,葛发欢（140152）,140152
36,日语副词的偏误研究（上）,编著,2020-12-01,,徐爱红（020166）,020166
37,我国慈善税收政策研究,专著,2017-12-13,,龙朝晖（004774）,004774
38,机器视觉（第二版）,译著,2020-11-11,,王亮（190035）,190035
39,食品安全社会共治：困局与突破,专著,2017-03-18,,谢康（002048）、肖静华（004763）、赖金天,002048、004763
40,广东省普通高中特色发展研究：经验、问题与政策建议,专著,2020-11-01,,朱新秤（006562）,006562
41,医学统计学与SPSS软件应用,编著,2008-08-15,,王彤、余红梅、陈长生、张晋昕、曾芳芳（014041）,014041
42,Quiet and Loyal Spirit:Commemorating Chinese Australian Mili,编著,2015-09-01,,费晟（120247）,120247
43,原真性与标准化悖论,专著,2019-01-01,,曾国军（050149）,050149
44,图书馆权利研究,专著,2011-03-11,,程焕文（001372）、潘燕桃（004645）、张靖（080120）、张琦（080148）、燕辉、何燕华、周旭毓、袁晓波,001372、004645、080120、080148
45,农村美好环境与幸福生活共同缔造工作指南,编著,2019-03-01,,李郇（005078）、陈伟、黄耀福,005078
46,2020中国中篇小说年选,编著,2021-01-01,,谢有顺（060026）,060026
47,史家之哲思：张荫麟哲学文存,编著,2018-08-10,,陈润成、李欣荣（120127）,120127
48,维特根斯坦的《逻辑哲学论》,专著,2010-01-01,,黄敏（050112）,050112
49,动脉粥样硬化学,专著,2017-10-01,,李朝红（040199）,040199
50,健儿消食口服液核心关键技术研究,专著,2021-03-01,,苏薇薇（006654）、陈婷婷、王永刚（020144）、彭维（069063）、郑玉莹（196540）、姚宏亮（167219）,006654、020144
51,大学体育健康理论与实践,教材,2017-09-09,,范振国（014182）、陈卓源、张保华,014182
52,苏格拉底的再次起航,译著,2015-07-30,,黄敏（050112）,050112
53,孙中山史事编年（第十二卷）,专著,2017-08-20,,孙宏云（005598）、庄泽晞（210572）,005598、210572
54,"School Leadership, Citizenship Education and Politics in China: Experiences from Junior Secondary Schools in Shanghai",专著,2016-10-12,,徐淑芹（130332）,130332
55,"Absorption Heating Technologies: Efficient Heating, Heat Recovery and Renewable Energy",专著,2020-05-01,,Wu Wei、Li Xianting、游田（200040）,200040
56,物物连起大世界——物联网的应用与前景,专著,2011-08-01,,胡建国（100170）,100170
57,管理基础,教材,2019-02-01,,龚凯颂（005621）,005621
58,《胎儿颅脑和心脏畸形超声诊断》,编著,2010-10-01,中山医学院,郭奕斌（011005）,011005
59,语言的形式、意义与语言学习者,专著,2014-07-01,,常新萍（006136）,006136
60,重症医学2020（开源性重症监护病房数据库）,编著,2020-08-01,,李姝翮（206453）、蔡常洁（111003）、管向东（812528）,111003、812528
61,中国文化思想录,专著,2018-02-01,,胡传吉（100133）,100133
62,Competition for Iron between Host and Pathogen: A Case Study on Helicobacter pylori,专著,2017-12-01,化学学院,夏炜（140056）,140056
63,广东参与“一带一路”建设蓝皮书（2013-2018）,专著,2018-10-10,,毛艳华（006571）、荣健欣（177421）、邹嘉龄（186109）、李艳秀（176136）,006571
64,"Обучение по методике ""Шэнбэнь"" (教育走向生本)",译著,2018-02-01,,邓杰（150202）,150202
65,高等药理学,专著,2019-07-01,药学院,梁思佳（210536）、刘培庆（011093）、李卓明（120280）、路静（200540）,210536、011093、120280、200540
66,医药化学实验,教材,2014-08-01,药学院,周勰（030060）、刘德育（012121）、黄爱东（012025）、叶建涛（050193）、陆明（070164）、叶燕媚（070198）、陈学文（011083）、叶剑清（011122）、钟玖平（100130）、王毅（110178）、刘鹏（006904）、曾飒（011119）,030060、050193、070164、100130、110178、006904
67,《全科医学》(第9版)：第7章预防保健（97-117页）,译著,2018-09-01,,王皓翔（150178）、王家骥,150178
68,宇宙奥德赛：穿越银河系,专著,2019-10-01,,王爽（180376）,180376
69,南岭历史地理研究（第三辑）,编著,2020-01-10,历史学系,谢湜（090026）、于薇（100031）、吴滔（050058）,090026、100031、050058
70,《可持续旅游营销：进展及案例》,编著,2018-05-01,旅游学院,何莽（110173）,110173
71,Global Justice in East Asia,编著,2020-01-10,,Jun-Hyeok Kwak（160019）,160019
72,Perception and production of Mandarin tones by native speakers and L2 learners,专著,2015-03-20,,杨蓓（180165）,180165
73,南岭历史地理研究（第二辑）,编著,2017-05-10,历史学系,于薇（100031）、吴滔（050058）、谢湜（090026）,100031、050058、090026
74,民间演剧与戏神信仰研究,专著,2017-05-30,,陈志勇（130083）,130083
75,社会性别与社会读本,译著,2010-12-01,,冯芃芃（006205）、郑岩芳（006039）,006205、006039
76,中国新闻业年度观察报告2020,编著,2020-10-22,新闻传播学院,张志安（110015）、徐桂权（140226）,140226
77,英美文学中的饮食书写,编著,2020-06-30,,肖明文（170161）,170161
78,《琅玕馆修史图题咏笺释》,编著,2016-08-01,,杨权（004073）,004073
79,中国货币市场研究Ⅱ-货币供给与通化膨胀,专著,2016-01-01,,王曦（020091）,020091
80,Fundamentals of Network Biology,教材,2018-06-01,,张文军（006052）,006052
81,数字人文：数字时代的知识与批判,译著,2019-06-01,,韦景竹（060093）,060093
82,信息资源管理的理论与实践,编著,2008-04-08,,程焕文（001372）、潘燕桃（004645）,001372、004645
83,考古地层学原理,译著,2020-12-30,,李宁利（006254）,006254
84,高压流体釜压发泡高性能高分子材料,专著,2020-11-05,,翟文涛（180214）,180214
85,《局部解剖学》(第9版)(国家健康委十三五规划教材),教材,2018-09-30,,汪华侨（013084）,013084
86,"Road Safety in China-Key Facts, Risk Analysis, Policy Impacts in Guangdong, Hong Kong and Macau",编著,2021-04-14,粤港澳发展研究院,张光南（100135）、钟俏婷（197060）,100135
87,数学地球科学,教材,2012-11-05,,周永章（006483）、王正海、侯卫生,006483
88,"Algae Biotechnology： Current Status, Potential and Impediments（第一节， 第一章）",编著,2020-08-11,生命科学学院,Sunil Kumar Sahu（156070）、Vaibhav A. Mantri、郑萍（14110473）、姚楠（050061）,050061
89,点亮芳华：广东省高校学生事务管理精品项目汇编,编著,2020-07-01,,刘洁予（050152）、陈保瑜（130196）、姜冰（130105）、张剑（180413）、郑梦婕（159121）,050152、130196、130105、180413、159121
90,无人飞行控制技术与工程,编著,2011-08-01,,曾庆华（180195）,180195
91,徐复观杂文补编,编著,2001-12-01,,黎汉基（030149）,030149
92,绿色发展理念研究,编著,2020-07-15,,周永章（006483）、林星雨、伍春丽、唐沐阳,006483
93,鲁迅北京交游研究,专著,2020-02-05,,陈洁（180333）,180333
94,transparency challenges facing China,编著,2019-01-01,,孙莹（140229）,140229
95,《The Exceptional Potential of General Practice》章节13.3：Perspective from China（189-192页）,编著,2018-12-13,,"王皓翔（150178）、Mercer, SW",150178
96,康德哲学在东亚：在日韩中台的影响作用史,译著,2015-03-01,,李明辉、廖钦彬（150013）,150013
97,社会失范与道德实践：吴宓与吴芳吉,专著,2006-08-01,政治与公共事务管理学院,黎汉基（030149）,030149
98,医学信息技术基础实验指导（第二版）,教材,2020-08-01,,周毅（014179）、蔡永铭、李伟忠（160008）、练伟（014111）、孙小强（140214）、王清、傅蓉、谭定英、刘慧英、刘迅（830912）、王萍（199606）、胡珊（011037）、刘佳、森干、李琳、彭柳芬,014179、160008、014111、140214、830912
99,博弈思维和社会困局,专著,2018-04-01,,朱富强（020031）,020031
100,旅游学（第四版）,教材,2019-10-23,,李天元、张朝枝（050113）、白凯,050113
101,日语复合助词的偏误研究（下）,编著,2019-11-07,,徐爱红（020166）,020166
102,等离子体处理固体废弃物技术,专著,2017-09-01,,杜长明（060181）,060181
103,多元LDPC码及其应用,编著,2020-12-30,,赵山程、马啸（040059）、白宝明,040059
104,学术变迁与近代文学的中国想象,专著,2013-03-31,,李青果（080157）,080157
105,文学及其所创作的,专著,2016-09-01,,谢有顺（060026）,060026
106,结肠造口护理与康复指南丛书,专著,2017-01-30,,张俊娥（019617）、胡爱玲（830509）、罗宝嘉（183538）、蒋梦笑（760655）、郑美春（860291）,019617、830509、860291
107,基于生态价值共创的自然保护区利益相关者管理研究*,编著,2019-01-01,,刘静艳（006777）、王雅君、陈阁芝,006777
108,"Semiconductor Quantum Science and Technology, Volume 105",专著,2020-11-25,,俞弘毅（180103）,180103
109,现代中国文艺的价值转向——毛泽东文艺思想与实践新探,专著,2015-08-01,,罗嗣亮（100154）,100154
110,Human Centric Visual Analysis with Deep Learning,专著,2019-11-27,,林倞（100002）、张冬雨、罗平、左旺孟,100002
111,医学生理学（第四版）,教材,2018-12-01,中山医学院,董军奎、樊守艳、冯丹丹、管又飞、李 晨、李建秀、李利生、李生花、李晓娟、李正红、刘云霞、罗自强、马春蕾、曲丽辉、舒安利、宋德懋、王 滨、王 乐、王黎明、王卫国、王 杨、温海霞、薛明明、杨秀红、臧颖（011121）、张翠英、张小郁、张晓燕、张 颖、赵春玲、朱进霞,011121
112,红楼叠影：中山大学近代建筑群的人文解读(上册)（下册）,编著,2016-10-31,,吕雅璐（003777）、姚明基（003387）、伍志勇（019710）,003777
113,主题公园发展：中国案例,专著,2021-01-01,旅游学院,保继刚（004495）、梁增贤（120265）,004495、120265
114,会展概论,教材,2020-09-01,旅游学院,罗秋菊（060138）,060138
115,民国时期营业税制度的变迁,专著,2020-06-30,历史学系,柯伟明（130267）,130267
116,成都市社会企业发展白皮书,编著,2021-10-01,管理学院（创业学院）,尹珏林（180130）,180130
117,Treatise on Geomorphology,专著,2022-03-22,大气科学学院,肖智勇（190225）,190225
118,海洋微生物学实验,教材,2019-09-01,海洋科学学院,贾坤同（120264）,120264
119,多边联盟：形成、治理与演化,专著,2019-09-01,旅游学院,罗超亮、符正平（004943）、刘冰（120138）、王曦,004943、120138
120,《康养蓝皮书：中国康养产业发展报告（2020）》,专著,2021-04-01,旅游学院,何莽（110173）、彭菲（217007）、杜洁、沈山、崔永伟,110173
121,社会网络视角下中国企业网络研究,专著,2015-02-01,旅游学院,刘冰（120138）,120138
122,《大洋洲名人录》,编著,2014-07-01,国际关系学院,张宇权（006886）,006886
123,《新时期中国农地制度改革之研究》,专著,2016-12-01,马克思主义学院,陈淑琼（012057）,012057
124,当代中国价值问题与价值重构,专著,2014-08-20,马克思主义学院,吴育林（004036）、黄寿松（050159）,004036、050159
125,广东学校的社会主义先进文化传播与建设研究,专著,2021-06-22,马克思主义学院,李辉（005419）、黄寿松（050159）,005419、050159
126,马克思主义政治理论研究,编著,2015-06-22,马克思主义学院,钟明华（003969）、黄寿松（050159）,050159
127,Brain Tumors-Current and Emerging Therapeutic Strategies,专著,2011-08-23,中山医学院,朱文博（120233）、颜光美（013078）,120233
128,Evolution of the Molecular Biology of Brain Tumors and the Therapeutic Implications.,专著,2013-02-27,中山医学院,吴思涵（09110792）、朱文博（120233）、颜光美（013078）,120233
129,广东大企业：税收经济与税源管理研究,专著,2020-12-01,岭南学院,龙朝晖（004774）,004774
130,自然辩证法概论（第二版）,教材,2019-08-01,马克思主义学院,吴炜（006921）、程本学（012078）、李珍（120191）,006921、120191
131,儿科护理学,教材,2017-06-01,护理学院,王茜、王玉香、仰曙芬、刘晓丹、肖倩、张玉侠、张利峰（080062）、陈华、陈慧、林素兰、林晓云、罗志民、周乐山、高海霞、崔焱、彭文涛、董玲、蒋小平,080062
132,儿科护理学实践与学习指导,教材,2017-08-01,护理学院,王茜、王玉香、仰曙芬、刘晓丹、肖倩、张玉侠、张利峰（080062）、陈华、陈慧、林素兰、林晓云、罗志民、周乐山、高海霞、崔焱、彭文涛、董玲、蒋小平,080062
133,粤剧唱腔音乐形态研究,专著,2020-12-01,艺术学院,孔庆夫（190557）,190557
134,粤剧经典唱段赏析教程,教材,2021-08-01,艺术学院,孔庆夫（190557）、金婷婷（170121）,190557、170121
135,潮汕地区社会工作发展报告,专著,2017-11-01,社会学与人类学学院,雷杰（120242）、蔡天（16212119）、李学斌（17212537）、黄婉怡,120242
136,广州市海珠区妇联工作改革模式研究,专著,2018-02-01,社会学与人类学学院,雷杰（120242）、蔡天（16212119）,120242
137,海洋地质专业作业技能训练,教材,2020-09-01,,杜学斌、张成、吕万军、姜涛、李祥权、程飞、刘秀娟、刘占红、吕晓霞、廖远涛、陈慧（200028）、雷超,200028
138,统计调查体系与调查方法问题研究,编著,2009-06-01,管理学院（创业学院）,黄诒蓉（040080）,040080
139,生态边坡——理论与实践,编著,2016-06-01,土木工程学院,高旭敏、林鲁生、谢孙园、戴北冰（140129）,140129
140,基础护理技能实训,教材,2018-07-01,护理学院,于雯、王凤、王浩东、李瑜、李爱夏、李艳、李雪玲、顾丽艳、吴小婉、苏吉儿、杨晓玮、张利峰（080062）、张正芬、竺静、金晶、赵妤聪、赵秀荷、高婧、魏虹、陈旭珊,080062
141,澳门中小学教育：法律、制度与政策,专著,2019-10-05,粤港澳发展研究院,曹旭东（130269）,130269
