category_id,category_name,parent_id,level
0,电子,-1,1
1,通信,-1,1
2,计算机,-1,1
3,物联网,-1,1
4,医疗健康,-1,1
5,医学,-1,1
6,机械装备,-1,1
7,材料,-1,1
8,能源动力,-1,1
9,交通运输,-1,1
10,建筑工程,-1,1
11,环保,-1,1
12,化工,-1,1
13,仪器仪表,-1,1
14,轻工制造,-1,1
15,农业,-1,1
16,食品饮料,-1,1
17,文科,-1,1
18,经济,-1,1
19,理科,-1,1
20,其他专业技术,-1,1
21,电子基础,0,2
22,集成电路,0,2
23,电子系统,0,2
24,消费电子,0,2
25,移动通信,1,2
26,无线电通信,1,2
27,有线电通信,1,2
28,光通信,1,2
29,网络通信,1,2
30,设备通信,1,2
31,协议及信号处理,1,2
32,通信服务,1,2
33,物联网通信,1,2
34,计算机硬件,2,2
35,计算机系统软件,2,2
36,计算机应用软件,2,2
37,云计算,2,2
38,人工智能,2,2
39,区块链,2,2
40,网络空间安全,2,2
41,感知设备,3,2
42,网络及传输,3,2
43,物联网应用,3,2
44,生物技术,4,2
45,医药制造,4,2
46,医疗器械,4,2
47,数字健康,4,2
48,化妆品,4,2
49,预防医学,4,2
50,营养学,4,2
51,医学,5,2
52,通用机械,6,2
53,设备数控机床,6,2
54,建筑机械,6,2
55,机械制造工艺,6,2
56,机械零部件,6,2
57,机器人,6,2
58,金属材料,7,2
59,高分子材料,7,2
60,无机非金属材料,7,2
61,前沿新材料,7,2
62,化石燃料,8,2
63,核能,8,2
64,可再生能源,8,2
65,能源设备,8,2
66,电气设备,8,2
67,电池制造,8,2
68,电网,8,2
69,航空航天装备,9,2
70,汽车工业,9,2
71,轮胎制造,9,2
72,发动机,9,2
73,船舶与海洋工程装备,9,2
74,导航系统,9,2
75,轨道交通装备,9,2
76,城市交通,9,2
77,市政工程,10,2
78,给排水工程,10,2
79,水利工程,10,2
80,道路及桥梁工程,10,2
81,建筑施工与装修,10,2
82,装配式建筑,10,2
83,建筑材料,10,2
84,污染治理,11,2
85,环境检测,11,2
86,循环利用,11,2
87,燃料化工,12,2
88,产品化工,12,2
89,工艺及设备,12,2
90,物理测量,13,2
91,分析测试,13,2
92,专用仪器仪表,13,2
93,消费仪器仪表,13,2
94,测绘,13,2
95,纺织服饰,14,2
96,生活家居,14,2
97,家电,14,2
98,造纸,14,2
99,消防用品,14,2
100,体育用品,14,2
101,包装储藏,14,2
102,文化办公,14,2
103,非机动车,14,2
104,照明,14,2
105,农业设施及装备,15,2
106,养殖业,15,2
107,农药,15,2
108,兽药,15,2
109,肥料,15,2
110,食品,16,2
111,饮料,16,2
112,食品添加与保存,16,2
113,保健食品,16,2
114,烟草,16,2
115,文化,17,2
116,历史,17,2
117,哲学,17,2
118,马克思主义,17,2
119,法学,17,2
120,社会学,17,2
121,语言学,17,2
122,艺术教育,17,2
123,新闻传播,17,2
124,图书馆学,17,2
125,档案学,17,2
126,教育学,17,2
127,考古学,17,2
128,金融,18,2
129,会计,18,2
130,审计,18,2
131,统计,18,2
132,管理学,18,2
133,数学,19,2
134,物理,19,2
135,天文学,19,2
136,地理学,19,2
137,大气科学,19,2
138,海洋科学,19,2
139,心理学,19,2
140,科研管理,20,2
141,实验技术,20,2
142,工程技术,20,2
143,图书资料,20,2
144,编辑出版,20,2
145,会计系列,20,2
146,体育教学,20,2
